Channel,Mean_Accuracy_Drop,Std_Accuracy_Drop
F7,0.08376068376068375,0.045257017806449376
P4,0.08347578347578348,0.05631809213931021
O2,0.0754985754985755,0.03348032944825664
T5,0.06837606837606838,0.0449655331659297
T6,0.06153846153846154,0.07536891516255934
F8,0.05270655270655271,0.01744650813948132
O1,0.03817663817663817,0.059587083589294015
Fz,0.03076923076923077,0.03768445758127967
Fp1,0.03019943019943021,0.04427794072232932
P3,0.023361823361823374,0.07109161285756418
C4,0.023076923076923085,0.052171769100963605
Pz,0.023076923076923085,0.03076923076923079
F3,0.023076923076923085,0.03076923076923079
Fp2,0.022792022792022814,0.03911547070582899
F4,0.022792022792022814,0.018616876641258755
T4,0.015099715099715106,0.01849878413760448
Cz,0.0076923076923076875,0.015384615384615375
T3,0.0076923076923076875,0.015384615384615375
C3,0.0076923076923076875,0.03768445758127963
